AF_CMP_factor01,AF_CMP_factor02,AF_CMP_factor03,AF_CMP_factor04,AF_CMP_factor05,AF_CMP_factor06,consecutive
000001.SZ,平安银行,平安银行股份有限公司,1991-04-03 00:00:00,,金融,0
000002.SZ,万科A,万科企业股份有限公司,1991-01-29 00:00:00,,房地产,0
000004.SZ,ST国华,深圳国华网安科技股份有限公司,1991-01-14 00:00:00,,信息技术,0
000005.SZ,ST星源,深圳世纪星源股份有限公司,1990-12-10 00:00:00,,工业,0
000006.SZ,深振业A,深圳市振业(集团)股份有限公司,1992-04-27 00:00:00,,房地产,0
000007.SZ,全新好,深圳市全新好股份有限公司,1992-04-13 00:00:00,,可选消费,0
000008.SZ,神州高铁,神州高铁技术股份有限公司,1992-05-07 00:00:00,,工业,0
000009.SZ,中国宝安,中国宝安集团股份有限公司,1991-06-25 00:00:00,,工业,0
000010.SZ,美丽生态,深圳美丽生态股份有限公司,1995-10-27 00:00:00,,工业,0
000011.SZ,深物业A,深圳市物业发展(集团)股份有限公司,1992-03-30 00:00:00,,房地产,0
000012.SZ,南玻A,中国南玻集团股份有限公司,1992-02-28 00:00:00,,材料,0
000014.SZ,沙河股份,沙河实业股份有限公司,1992-06-02 00:00:00,,房地产,0
000016.SZ,深康佳A,康佳集团股份有限公司,1992-03-27 00:00:00,,可选消费,0
000017.SZ,深中华A,深圳中华自行车(集团)股份有限公司,1992-03-31 00:00:00,,可选消费,0
000019.SZ,深粮控股,深圳市深粮控股股份有限公司,1992-10-12 00:00:00,,工业,0
000020.SZ,深华发A,深圳中恒华发股份有限公司,1992-04-28 00:00:00,,可选消费,0
000021.SZ,深科技,深圳长城开发科技股份有限公司,1994-02-02 00:00:00,,信息技术,0
000023.SZ,深天地A,深圳市天地(集团)股份有限公司,1993-04-29 00:00:00,,材料,0
000025.SZ,特力A,深圳市特力(集团)股份有限公司,1993-06-21 00:00:00,,可选消费,0
000026.SZ,飞亚达,飞亚达精密科技股份有限公司,1993-06-03 00:00:00,,可选消费,0
000027.SZ,深圳能源,深圳能源集团股份有限公司,1993-09-03 00:00:00,,公用事业,0
000028.SZ,国药一致,国药集团一致药业股份有限公司,1993-08-09 00:00:00,,医疗保健,0
000029.SZ,深深房A,深圳经济特区房地产(集团)股份有限公司,1993-09-15 00:00:00,,房地产,0
000030.SZ,富奥股份,富奥汽车零部件股份有限公司,1993-09-29 00:00:00,,可选消费,0
000031.SZ,大悦城,大悦城控股集团股份有限公司,1993-10-08 00:00:00,,房地产,0
000032.SZ,深桑达A,深圳市桑达实业股份有限公司,1993-10-28 00:00:00,,工业,0
000034.SZ,神州数码,神州数码集团股份有限公司,1994-05-09 00:00:00,,信息技术,0
000035.SZ,中国天楹,中国天楹股份有限公司,1994-04-08 00:00:00,,工业,0
000036.SZ,华联控股,华联控股股份有限公司,1994-06-17 00:00:00,,房地产,0
000037.SZ,深南电A,深圳南山热电股份有限公司,1994-07-01 00:00:00,,公用事业,0
000038.SZ,*ST大通,深圳大通实业股份有限公司,1994-08-08 00:00:00,,可选消费,0
000039.SZ,中集集团,中国国际海运集装箱(集团)股份有限公司,1994-04-08 00:00:00,,工业,0
000040.SZ,东旭蓝天,东旭蓝天新能源股份有限公司,1994-08-08 00:00:00,,公用事业,0
000042.SZ,中洲控股,深圳市中洲投资控股股份有限公司,1994-09-21 00:00:00,,房地产,0
000045.SZ,深纺织A,深圳市纺织(集团)股份有限公司,1994-08-15 00:00:00,,信息技术,0
000046.SZ,泛海控股,泛海控股股份有限公司,1994-09-12 00:00:00,,金融,0
000048.SZ,京基智农,深圳市京基智农时代股份有限公司,1994-11-01 00:00:00,,日常消费,0
000049.SZ,德赛电池,深圳市德赛电池科技股份有限公司,1995-03-20 00:00:00,,工业,0
000050.SZ,深天马A,天马微电子股份有限公司,1995-03-15 00:00:00,,信息技术,0
000055.SZ,方大集团,方大集团股份有限公司,1996-04-15 00:00:00,,工业,0
000056.SZ,皇庭国际,深圳市皇庭国际企业股份有限公司,1996-07-08 00:00:00,,工业,0
000058.SZ,深赛格,深圳赛格股份有限公司,1996-12-26 00:00:00,,房地产,0
