AF_LR_MTBI_id,AF_LR_MTBI_name,AF_LR_MTBI_start_time,AF_LR_MTBI_org,AF_LR_MTBI_reason,consecutive
000005.SZ,ST星源,2022,中国证券监督管理委员会,涉嫌信息披露违法违规,0
000007.SZ,全新好,2013,中国证券监督管理委员会,涉嫌及信息披露违法违规,0
000007.SZ,全新好,2016,中国证券监督管理委员会,信息披露涉嫌违反证券法律法规， 未及时披露公司对外提供财务资助、实际控制人筹划股权转让及相关股权被司法轮候查封的事项,0
000018.SZ,神城A退(退市),2018,中国证券监督管理委员会,涉嫌信息披露违法违规,0
000033.SZ,新都退(退市),2017,中国证券监督管理委员会,涉嫌违反证券法律法规,0
000034.SZ,神州数码,2005,中国证券监督管理委员会深圳稽查局,涉嫌信息披露虚假记载、重大遗漏等违反证券法律、法规,0
000037.SZ,深南电A,2002,中国证券监督管理委员会深圳稽查分局,涉嫌公司董事、经理涉嫌利用在公司的地位和职权为自己谋取私利、公司信息披露违反证券法律等,0
000038.SZ,深大通,2021,中国证券监督管理委员会,涉嫌信息披露违法违规,0
000090.SZ,天健集团,2008,中国证券监督管理委员会深圳稽查局,涉嫌违反证券法律法规,0
000150.SZ,*ST宜康,2021,中国证券监督管理委员会,涉嫌操纵证券市场，未按规定披露持股变动信息。,0
000150.SZ,*ST宜康,2022,中国证券监督管理委员会,涉嫌信息披露违法违规,1
000421.SZ,南京公用,2006,中国证券监督管理委员会江苏监管局,涉嫌信息披露违法违规,0
000498.SZ,山东路桥,2006,中国证券监督管理委员会沈阳稽查局,涉嫌大股东非法占用资金,0
000517.SZ,荣安地产,2005,中国证券监督管理委员会宁波证监局,涉嫌违反证券法规,0
000525.SZ,ST红太阳,2020,中国证券监督管理委员会,涉嫌信息披露违法违规,0
000529.SZ,广弘控股,2005,中国证券监督管理委员会广东监管局,涉嫌信息披露违规,0
000564.SZ,*ST大集,2021,中国证券监督管理委员会,涉嫌信息披露违法违规,0
