MG_MAR_factor01,MG_MAR_factor02,MG_MAR_factor03,MG_MAR_factor04,MG_MAR_factor05,MG_MAR_factor06,MG_MAR_factor07,MG_MAR_factor08,MG_MAR_factor09,MG_MAR_factor10,MG_MAR_factor11,MG_MAR_factor12,MG_MAR_factor13,MG_MAR_factor14,MG_MAR_factor15,MG_MAR_factor16,MG_MAR_factor17,MG_MAR_factor18,MG_MAR_factor19,MG_MAR_factor20,MG_MAR_factor21,MG_MAR_factor22,MG_MAR_factor23,MG_MAR_factor24,MG_MAR_factor25,MG_MAR_factor26,MG_MAR_factor27,MG_MAR_factor28,MG_MAR_factor29,MG_MAR_factor30,consecutive
000004.SZ,国华网安,2019,2018-09-29 00:00:00,,出让方,完成,国农科技挂牌转让山东华泰50%股权,二级市场收购(含产权交易所),资产调整,山东华泰50%股权,50,7298.85,5482.498309922632,7298.85,CNY,现金,资产基础法,2018-05-31 00:00:00,,1.3313,中天国富,,软件和信息技术服务业,互联网软件与服务Ⅲ,西药,"20190329：截至本公告披露之日，根据公司与武汉用通签署的《企业产权转让合同》，山东华泰已完成工商变更登记手续。本公司持有的山东华泰50%股权已过户给武汉用通，本公司不再持有山东华泰股权。
武汉用通已完成本次交易所有交易价款共7,298.85万元的支付，深圳联合产权交易所已出具关于本次交易的《产权交易鉴证书》。
20190228：截止本公告披露之日，本次交易的产权过户手续正在办理中，公司将根据办理进度及时履行信息披露义务。由于过户手续尚未完成。
20181211：截至本公告披露之日，武汉用通已将第二期交易价款21,896,550元汇入深圳联合产权交易所指定结算账户，占交易总价款的30%。武汉用通已合计支付款项36,896,550元，剩余交易价款将于产权转让合同生效后三个月内支付。
20181129：股东大会通过。
20181113：国农科技发布本次交易草案
20181102：2018年11月2日，公司收到深圳联合产权交易所发来的《意向受让方登记情况及资格确认意见函》，征集到符合受让条件的意向受让方一个，即武汉用通医药有限公司。武汉用通医药有限公司在规定时间内缴纳了本项目的交易保证金并通过深圳联合产权交易所审核，已确认其符合受让条件。
20181027：国农科技发布本次交易修订案。
20180928：公司拟通过在深圳联合产权交易所公开挂牌的方式，出售持有的山东华泰50%股权，本次重大资产出售最终的交易对方将根据公开挂牌结果确认。重组完成后，上市公司将不再持有山东华泰的股权。公司以评估结果为参考依据，以人民币7,298.85万元作为标的资产即山东华泰50%股权在深圳联合产权交易所公开挂牌转让的挂牌价格。
2018年9月28日，公司召开第九届董事会2018年第三次临时会议，审议通过了本次挂牌交易的相关议案。
本次交易前，上市公司主要业务为医药制造业务和移动互联网游戏业务，并通过深圳国科投资开展投资业务。本次交易完成后，上市公司将不再拥有医药制造业务，仅保留移动互联网游戏业务以及投资业务。未来公司将重点发展移动互联网游戏业务及投资业务，并继续寻机收购优质移动互联网业务资产，推进公司业务转型发展。",安徽天禾,大华会计师事务所,北京北方亚事资产评估事务所(特殊普通合伙),0
000004.SZ,国华网安,2020,2019-04-10 00:00:00,2019-03-26 00:00:00,竞买方,完成,国农科技发股购买智游网安100%股权,发行股份购买资产,横向整合,智游网安100%股权,100,128100,13495.169168579065,128196.01,CNY,股权,收益法,2018-12-31 00:00:00,22.3032,7.1307,中天国富,,软件和信息技术服务业,互联网软件与服务Ⅲ,系统软件,>FILE:95aa0fb660b87f044b4176250e9fda12#F20_4066#TB_OBJECT_4066/F0/{EB5B0973-5B51-11E9-9FD1-6C0B84DE2A42},安徽天禾,致同会所,天健兴业,1
000007.SZ,*ST全新,2017,2015-08-01 00:00:00,,竞买方,过户,零七股份拟对德福联合金控增资扩股,增资,多元化战略,德福联合金控100%股权,100,,,,CNY,现金,,,,,五矿证券,,房地产业,房地产管理和开发,特殊金融服务,"20170601：联合金控已于2015年11月6日完成了股权过户的工商变更登记手续，股权过户后公司持有联合金控64.2857%股权，深圳德福基金管理有限公司持有联合金控35.7143%股权。公司控股子公司深圳市零七投资发展有限公司收购德福基金持有的联合金控35.7143 %股权并签订股权转让合同。目前，收购联合金控35.7143%股权的股权转让公证手续及股权过户工商变更已完成，零七投资已支付全部收购款并于工商变更完成后履行原股东德福基金首期2000万元出资义务。
20161230：标的资产已经过户。
20150910：零七股份颁布重大资产购买的草案。
20150731：深圳市零七股份有限公司对深圳德福联合金融控股有限公司进行增资扩股，推动公司战略发展转型。
2015年7月31日，零七股份召开第九届董事会第十七次（临时）会议，审议并通过了《关于公司对深圳德福联合金融控股有限公司进行增资扩股的议案》。
本次增资是为增强零七股份的盈利能力和可持续发展能力，保护上市公司及投资者的利益，零七股份将通过市场化多重手段的运用，向构建“互联网+金融+投资（证券、期货、创业投资等）+投资管理”的业务模式进行转变。",信达律师,,,0
000007.SZ,*ST全新,2019,2017-09-30 00:00:00,2017-02-06 00:00:00,竞买方,失败,全新好收购港澳资讯50.5480%股权,协议收购,横向整合,港澳资讯50.5480%股权,50.548,58130,15152.026147195165,58180.75,CNY,现金,收益法,2017-12-31 00:00:00,20.6576,3.839,开源证券,,房地产业,房地产管理和开发,特殊金融服务,"20190112：因宏观经济环境及资本市场情况发生较大的变化，公司及相关方就本次重大资产重组情况进行了论证，认为继续推进本次重大资产重组具有较大不确定性。为维护公司及全体股东尤其是中小股东的利益，经各方讨论协商达成一致，公司拟终止筹划本次重大资产重组。
20180614：全新好通过控股企业联合金控以支付现金的方式购买山南弘扬、上海双鹰、王素萍等3名交易对手合计持有的港澳资讯50.5480%股权，本次交易价格为58,130.00万元。
20170930：港澳资讯专注于通过互联网和移动通讯网络等方式向机构客户（B2B）和个人客户（B2C）提供金融资讯及数据、软件终端产品、金融IT解决方案及证券投资咨询、财务顾问等服务。
本次交易的收购方为全新好，收购主体为全新好丰泽。全新好通过全新好丰泽，以支付现金的方式购买山南弘扬、上海双鹰、王素萍等3名交易对手合计持有的港澳资讯50.5480%股权。
2017年9月29日，本公司召开第十届董事会第三十三次会议，审议通过了本次重大资产购买等相关议案。
本次交易完成后，借助港澳资讯在金融信息领域的运营及渠道等优势，公司的主营业务将从物业管理等传统行业转型为金融信息服务业，有助于增强公司的可持续发展能力，为广大中小股东的利益提供更为可靠的业绩保障。",锦天城律师,"立信,中审众环",众华资产评估,0
000010.SZ,美丽生态,2022,2022-06-29 00:00:00,,竞买方,董事会预案,美丽生态收购兰州中通道97%股权,协议收购,战略合作,兰州中通道97%股权,97,,,,CNY,现金,,,,,,,土木工程建筑业,建筑与工程Ⅲ,公路与铁路,20220629：上市公司以支付现金形式购买上市公司控股股东佳源创盛持有的兰州中通道97%股权。本次交易前，上市公司未持有兰州中通道股权，本次交易完成后，上市公司将取得兰州中通道的控制权。截至本预案签署日，本次交易标的公司的审计、评估工作尚未完成，标的资产的预估值及交易价格尚未确定。本次交易构成关联交易。本次交易预计构成重大资产重组，不构成重组上市。,,,,0
000019.SZ,深粮控股,2018,2018-03-24 00:00:00,,竞买方,完成,深深宝A定增收购深粮集团100%股权,发行股份购买资产,多元化战略,深粮集团100%股权,100,587554.64,306816.146016146,611883.44,CNY,股权,收益法,2018-03-31 00:00:00,16.3064,1.9943,万和证券,,批发业,贸易公司与工业品经销商Ⅲ,食品加工与肉类,"20181109：上市公司发布本次交易实施情况报告，本次交易完成。
20181023：公司收到中国证监会的核准文件后积极开展标的资产交割工作，截至目前，本次交易之标的资产深圳市粮食集团有限公司100%股权已完成过户手续及相关工商变更登记。
20181017：证监会核准
20181013：鉴于评估报告已过有效期，评估机构北京中企华资产评估有限责任公司以2018年3月31日为补充评估基准日，对标的资产深粮集团100%的股权进行了补充评估并出具了中企华评报字（2018）第4233号《资产评估报告》。
20180925：发审委通过。
20180910：深深宝A发布草案修订案。
20180831：第一次证监会反馈意见。
20180728：证监会受理。
20180628：股东大会通过。
20180616：国资委批准。
20180611：根据中企华出具的中企华评报字（2018）第3558号《资产评估报告》，本次交易标的采用收益法和资产基础法进行评估。评估机构对本次评估采用收益法评估结果作为深粮集团100%股权价值的评估结论。以2017年9月30日为基准日，深粮集团100%股权的评估值为587,554.64万元，较合并口径下归属于母公司的所有者权益增值额为299,594.20万元，增值率为104.04%。根据《发行股份购买资产协议》，经交易双方协商，深粮集团100%股权作价587,554.64万元。
20180323：深深宝拟向福德资本发行股份购买其持有的深粮集团100%股权。双方同意，截至评估基准日，深粮集团100%股权的预估值为585,943.21万元。以上述预估值为基础，交易双方初步商定标的资产的交易作价为585,943.21万元。
2018年3月23日，深深宝A第九届董事会第十五次会议通过了相关议案。
上市公司发行股份收购标的公司，将实现各方优势资源互补，增强上市公司盈利能力、提升股东回报水平，具有一定的协同效应。",金杜律师事务所,中天运会计,中企华评估,0
000028.SZ,国药一致,2017,2016-03-10 00:00:00,,出让方,完成,现代制药定增收购11家医药公司及相关经营性资产,发行股份购买资产,横向整合,芜湖三益51%股权;国药一心51%股权;致君制药51%股权等11家医药公司;坪山基地经营性资产,,773864.81,321172.3635609048,773864.81,CNY,股权+现金,"资产基础法,收益法",2015-09-30 00:00:00,,,中信证券,,批发业,医疗保健提供商与服务,"西药,制药","20170308：上海现代制药股份有限公司发布发行股份及支付现金购买资产并募集配套资金暨关联交易之实施情况报告书。
20170104：标的资产的过户和交付手续已依法办理完毕。
20161118：本次交易的标的资产国药集团工业有限公司 100%股权、国药集团威奇达药业有限公司100%股权、国药集团大同威奇达中抗制药有限公司100%股权、国药集团汕头金石制药有限公司 100%股权、国药集团新疆制药有限公司55%股权、青海制药（集团）有限责任公司 52.92%股权、国药一心制药有限公司 51%股权、国药集团三益药业（芜湖）有限公司 51%股权、国药集团致君（深圳）制药有限公司 51%股权、国药集团致君（深圳）坪山制药有限公司51%股权、深圳致君医药贸易有限公司 51%股权的过户和工商变更登记工作已完成。
20161021：上海现代制药股份有限公司于近日收到中华人民共和国商务部反垄断局《不实施进一步审查通知》。
20160928：日前，公司收到了中国证监会《关于核准上海现代制药股份有限公司向国药控股股份有限公司等发行股份购买资产并募集配套资金的批复》。
20160907：上海现代制药股份有限公司于2016年9月7日收到中国证券监督管理委员会通知，经中国证监会上市公司并购重组审核委员会于2016年9月7日召开的2016年第65次并购重组委工作会议审核，公司发行股份及支付现金购买资产并募集配套资金暨关联交易事项获得无条件通过。
20160816：第一次证监会反馈意见回复。
20160722：第一次证监会反馈意见。
20160630：证监会受理。
20160616：2016年6月16日，现代制药召开了2016年第二次临时股东大会，审议通过了关于公司发行股份及支付现金购买资产并募集配套资金暨关联交易方案的议案。
20160531：发布了草案，修改了交易价格、评估值、增值率等数据。
20160309：以2015年9月30日为审计、评估基准日，现代制药向国药控股发行股份购买其持有的芜湖三益51%股权、国药一心26%股权，向杭州潭溪发行股份购买其持有的国药一心25%股权；现代制药向国药一致发行股份购买其持有的致君制药51%股权、坪山制药51%股权、致君医贸51%股权、坪山基地经营性资产；现代制药向国药工业发行股份购买其持有的国工有限100%股权、国药威奇达67%股权、汕头金石80%股权、青海制药52.92%股权、新疆制药55%股权；现代制药向自然人韩雁林发行股份及支付现金购买其持有的国药威奇达33%股权及中抗制药33%股权，其中股份支付比例占支付韩雁林总对价的95%，现金支付比例占支付韩雁林总对价的5%；现代制药向杨时浩等12名自然人发行股份购买其持有的汕头金石20%股权。上述资产预估值为774402.94万元。
现代制药2016年3月9日召开第五届董事会第二十七次会议，逐项审议通过《关于公司发行股份及支付现金购买资产并募集配套资金暨关联交易方案的议案》。
本次重组完成后，原分散在国药集团不同的二级企业主体、各上市公司中
的化学制药工业资产将得以整合，现代制药将成为国药集团化药工业产业发展
和资本运作的统一平台。",金诚同达律师,"天职国际,普华永道中天事务所",中企华评估,0
000028.SZ,国药一致,2017,2016-03-10 00:00:00,,竞买方,完成,国药一致定增收购4家医药公司,发行股份购买资产,横向整合,国大药房100%股权;佛山南海100%股权;广东新特药100%股权;南方医贸100%股权,,350398.47,147108.80809437844,350398.47,CNY,股权+现金,收益法,2015-09-30 00:00:00,,,中金公司,,批发业,医疗保健提供商与服务,"医疗保健用品,贸易公司与工业品经销商","20170104：国药一致发布此次交易实施情况暨新增股份上市公告书。
20161121：公司已完成拟注入标的资产国药控股国大药房有限公司100%股权、佛山市南海医药集团有限公司100%股权、广东东方新特药有限公司100%股权和广东南方医药对外贸易有限公司100%股权的过户手续及相关工商登记，致君制药、致君医贸、坪山制药已由本公司的全资子公司变更为参股子公司，国大药房、佛山南海、广东新特药、南方医贸变更为本公司的全资子公司。
20161021：国药一致关于公司重大资产重组事项获得商务部反垄断局批复。
20160927：国药集团一致药业股份有限公司于2016年9月27日收到中国证券监督管理委员会出具的《关于核准国药集团一致药业股份有限公司向国药控股股份有限公司等发行股份购买资产并募集配套资金的批复》
20160907：国药集团一致药业股份有限公司于2016年9月7日收到中国证券监督管理委员会的通知，经中国证监会上市公司并购重组审核委员会于2016年9月7日召开的2016年第65次并购重组委工作会议审核，公司资产出售、发行股份及支付现金购买资产并募集配套资金暨关联交易事项获得无条件审核通过。
20160818：第一次证监会反馈意见回复。
20160629：证监会受理。
20160616：2016年6月16日，国药一致召开了2016年第三次临时股东大会，审议通过了《关于公司资产出售、发行股份及支付现金购买资产并募集配套资金暨关联交易方案的议案》。
20160601：发布了草案，修改了评估值、交易价格、增值率等数据。
20160309：中国药一致拟向国药控股非公开发行股票购买国大药房100%股权、佛山南海100%股权、广东新特药100%股权，向国药外贸非公开发行股票购买南方医贸51%股权及向符月群等11名自然人少数股东支付现金购买南方医贸49%股权。上述发行股份及支付现金购买资产完成后，国药一致将直接持有国大药房100%股权、佛山南海100%股权、广东新特药100%股权及南方医贸100%股权。截至本预案签署之日，拟注入资产的评估工作尚未完成，截至评估基准日预估值为349,460.51万元。
国药一致2016年3月9日召开第七届董事会第十三次会议，审议通过了《关于公司资产出售、发行股份及支付现金购买资产并募集配套资金暨关联交易方案的议案》。
本次交易通过资产出售、发行股份及支付现金购买资产的方式可解决同业竞争
历史遗留问题，有助于国药一致的长远发展。本次重组的同时，国药一致还将通过募集配套资金用于支付本次交易对价、补充流动资金，进一步保证国药一致在全国医药零售行业及两广地区医药分销的龙头地位，增强国药一致竞争力及提升公司整体的品牌形象。",国浩律师,"普华永道中天事务所,天职国际","天健兴业,中企华评估",0
000031.SZ,大悦城,2019,2018-03-31 00:00:00,,竞买方,完成,中粮地产定增收购大悦城地产64.18%股权,发行股份购买资产,横向整合,大悦城地产64.18%股权,64.18,1475607.94,751677.6645370652,1482458.69,CNY,股权,资产基础法,2017-12-31 00:00:00,20.0305,0.8549,"中金公司,中信证券",,房地产业,房地产管理和开发,多样化房地产活动,"20190222：发布实施情况暨新增股份上市报告书。
20190202：标的资产已过户。
20181226：证监会批准。
20181205：发审委通过。
20181121：证监会受理。
20181116：本次继续推进的重大资产重组方案，与之前已经公司2017年年度股东大会审议通过的重组方案相比，并未对交易对象、交易标的、交易价格、配套募集资金等进行调整。
20181027：中粮地产（集团）股份有限公司（以下简称“公司”）于近日收到控股股东中粮集团有限公司转来的中华人民共和国商务部（以下简称“商务部”）出具的《商务部关于原则同意明毅有限公司战略投资中粮地产（集团）股份有限公司的批复》（商资批[2018]692号）。商务部原则同意明毅有限公司以其持有的大悦城地产有限公司913,366.7644万股普通股份认购公司非公开发行人民币普通股（A股）不超过214,166.6095万股。
20181026：经中国证券监督管理委员会上市公司并购重组审核委员会（以下简称“并购重组委” ）2018年第50次并购重组委会议审核，中粮地产（集团）股份有限公司本次发行股份购买资产并募集配套资金暨关联交易事项未获得审核通过。
20181008：中粮地产发布修订案。
20180921：国家发改委同意实施中粮地产（集团）股份有限公司收购大群岛大悦城地产有限公司股权项目。
20180911：第一次证监会反馈意见。
20180824：证监会受理。
20180724：中粮地产发布最新草案。本次交易中，估值机构出具了《中粮地产（集团）股份有限公司拟收购VIBRANT OAK LIMITED持有的大悦城地产有限公司9,133,667,644股普通股股份项目估值报告》，从独立估值机构的角度分析本次交易标的资产估值作价的合理性公允性。
20180614：股东大会通过。
20180612：国资委批准
20180331：中粮地产拟以发行股份的方式向明毅收购其持有的大悦城地产9,133,667,644股普通股股份（占大悦城地产已发行普通股股份总数的64.18%，占大悦城地产已发行普通股及可转换优先股合计股份数的59.59%）。本次交易完成后，大悦城地产将成为中粮地产的控股子公司。本次重组的交易对价暂定为1,475,607.94万元。
本次交易已经上市公司第九届董事会第十七次会议审议通过。
本次交易完成后，上市公司将持有大悦城地产9,133,667,644股普通股股份（占大悦城地产已发行普通股股份总数的64.18%，占大悦城地产已发行普通股及可转换优先股合计股份数的59.59%）。本次交易将为上市公司主营业务注入新的商业地产元素，释放住宅、商业板块整合的协同效应。公司既能通过开发型物业的高周转实现现金回流，又能分享持有型物业带来的长期稳定收益和升值红利，有利于改善公司的持续经营能力，提高公司的竞争力。",君合律师,瑞华会计所,"安永(中国)企业咨询有限公司,中企华评估",0
000032.SZ,深桑达A,2021,2020-01-22 00:00:00,2020-01-08 00:00:00,竞买方,完成,深桑达A定增收购中国系统96.7186%股权,发行股份购买资产,横向整合,中国系统96.7186%股权,96.7186,742895.35,203396.9303140659,742825.9292,CNY,股权,收益法,2020-02-29 00:00:00,10.5283,2.7653,平安证券,,建筑安装业,建筑与工程Ⅲ,建筑与工程,"20210513：上市公司发布实施情况暨新增股份上市公告书，本次交易完成。
20210417：根据北京市市场监督管理局于2021年4月15日核发的《营业执照》，本次交易涉及购买资产的过户事宜已办理完毕。
20210402：深桑达A关于发行股份买资产并募集配套资金暨关联交易事项获得中国证监会核准。
20210227：2021年2月26日，中国证监会上市公司并购重组审核委员会召开2021年第3次并购重组委工作会议，对深圳市桑达实业股份有限公司发行股份购买资产并募集配套资金暨关联交易事项进行审核。根据会议审核结果，公司本次重组事项获得有条件通过。
20210204：第二次证监会反馈意见回复。
20201207：第二次证监会反馈意见。
20201202：第一次证监会反馈意见回复。
20201124：深桑达A对《中国证监会行政许可项目审查一次反馈意见通知书》反馈意见回复。
20201027：第一次证监会反馈意见。
20201009：中国证监会依法对公司提交的《上市公司发行股份购买资产核准》行政许可申请材料进行了审查，认为该申请材料齐全，符合法定形式，决定对该行政许可申请予以受理。
20200822：深桑达A2020年第三次临时股东大会审议通过关于公司发行股份购买资产并募集配套资金暨关联交易符合相关法律法规的提案。
20200818：发布修订稿。
20200804：深圳市桑达实业股份有限公司发布此次交易的草案，更新了相关信息。
20200730：深圳市桑达实业股份有限公司近日收到通知，公司拟通过发行股份的方式购买中国电子系统技术有限公司96.7186%股权并募集配套资金的资产评估结果已获得国务院国有资产监督管理委员会备案，并已取得《国有资产评估项目备案表》。
20200418：截至本公告披露之日，本次重组涉及资产的审计、评估工作尚未完成，审计、评估工作完成后还需依照国有资产评估管理的相关规定，履行国有资产评估备案程序。待上述工作完成后，公司将再次召开董事会审议本次重组的相关事项，并由董事会召集股东大会审议与本次重组相关的议案。
20200220：本次重组预案签署日前，中国系统通过增资方式引入中电金投控股有限公司、中电海河智慧新兴产业投资基金（天津）合伙企业（有限合伙）、中国瑞达投资发展集团有限公司、工银金融资产投资有限公司，增资金额20亿元，截至本公告披露之日，中国系统上述增资事项已完成工商变更程序。
截至本公告披露之日，本次重组涉及资产的审计、评估工作尚未完成，审计、评估工作完成后还需依照国有资产评估管理的相关规定，履行国有资产评估备案程序。待上述工作完成后，公司将再次召开董事会审议本次重组的相关事项，并由董事会召集股东大会审议与本次重组相关的议案。
截至本公告披露之日，本次重组已通过了国务院国资委的预审核，尚需履行公司股东大会、国务院国有资产监督管理委员会、中国证券监督管理委员会等相关有权部门的批准或核准，本次重组能否取得前述批准或核准以及最终取得批准或核准的时间存在不确定性。
20200122：深桑达A发布发行股份购买资产并募集配套资金暨关联交易预案。
20200108：深圳市桑达实业股份有限公司（以下简称“公司”）收到公司实际控制人中国电子信息产业集团有限公司（以下简称“中国电子”）和控股股东中国中电国际信息服务有限公司（以下简称“中电信息”）的通知，目前正在筹划重大资产重组事宜，涉及上市公司发行股份购买中国电子系统技术有限公司96.719%股权。",金杜律师事务所,立信,国融兴华,0
