AF_ST_factor01,AF_ST_factor02,AF_ST_factor03,consecutive
000005.SZ,ST星源,2021,0
000007.SZ,全新好,2021,0
000010.SZ,美丽生态,2019,0
000017.SZ,深中华A,2020,0
000018.SZ,神城A退(退市),2019,0
000018.SZ,神城A退(退市),2019,0
000048.SZ,京基智农,2018,0
000408.SZ,藏格矿业,2020,0
000409.SZ,云鼎科技,2018,0
000410.SZ,ST沈机,2019,0
000422.SZ,湖北宜化,2018,0
000502.SZ,绿景退(退市),2021,0
000504.SZ,南华生物,2019,0
000509.SZ,*ST华塑,2020,0
000523.SZ,广州浪奇,2021,0
000525.SZ,ST红太阳,2021,0
000536.SZ,华映科技,2020,0
000564.SZ,ST大集,2021,0
000564.SZ,ST大集,2021,0
000564.SZ,ST大集,2021,0
000571.SZ,ST大洲,2019,0
000572.SZ,海马汽车,2019,0
000585.SZ,*ST东电,2018,0
000587.SZ,*ST金洲,2020,0
000595.SZ,宝塔实业,2020,0
000606.SZ,*ST顺利,2021,0
000609.SZ,中迪投资,2021,0
000611.SZ,*ST天首,2019,0
000613.SZ,东海A退(退市),2021,0
000616.SZ,ST海投,2021,0
000638.SZ,*ST万方,2021,0
000655.SZ,金岭矿业,2018,0
000662.SZ,天夏退(退市),2020,0
000663.SZ,永安林业,2020,0
000669.SZ,ST金鸿,2020,0
000670.SZ,*ST盈方,2019,0
000673.SZ,*ST当代,2020,0
000679.SZ,大连友谊,2020,0
000687.SZ,*ST华讯,2020,0
000707.SZ,*ST双环,2018,0
000720.SZ,新能泰山,2018,0
000727.SZ,冠捷科技,2020,0
000737.SZ,南风化工,2018,0
000752.SZ,*ST西发,2019,0
000760.SZ,斯太退(退市),2019,0
000780.SZ,ST平能(退市),2020,0
000792.SZ,盐湖股份,2019,0
000802.SZ,北京文化,2021,0
000803.SZ,北清环能,2020,0
000806.SZ,ST银河,2019,0
000816.SZ,智慧农业,2018,0
000820.SZ,*ST节能,2019,0
000835.SZ,*ST长动,2020,0
000837.SZ,秦川机床,2020,0
000868.SZ,安凯客车,2019,0
000890.SZ,法尔胜,2020,0
000893.SZ,亚钾国际,2018,0
000897.SZ,津滨发展,2019,0
000911.SZ,南宁糖业,2019,0
000927.SZ,中国铁物,2020,0
000939.SZ,凯迪退(退市),2018,0
000971.SZ,ST高升,2019,0
000972.SZ,ST中基,2021,0
000979.SZ,中弘退(退市),2018,0
000980.SZ,*ST众泰,2020,0
000981.SZ,*ST银亿,2019,0
000981.SZ,*ST银亿,2021,0
000995.SZ,皇台酒业,2018,0
002005.SZ,ST德豪,2019,0
002018.SZ,华信退(退市),2018,0
002021.SZ,ST中捷,2019,0
002052.SZ,ST同洲,2020,0
002058.SZ,威尔泰,2021,0
002071.SZ,长城退(退市),2020,0
002071.SZ,长城退(退市),2021,1
002072.SZ,*ST凯瑞,2019,0
002076.SZ,ST雪莱,2020,0
002077.SZ,大港股份,2020,0
