AF_VIO_factor01,AF_VIO_factor02,AF_VIO_factor03,AF_VIO_factor04,consecutive
000001.SZ,2018,未依法履行其他职责,公司本身,0
000001.SZ,2018,未依法履行其他职责,公司本身,0
000001.SZ,2018,信息披露虚假或严重误导性陈述,公司本身,0
000001.SZ,2018,未依法履行其他职责,公司本身,0
000001.SZ,2018,未依法履行其他职责,公司本身,0
000001.SZ,2018,未依法履行其他职责,公司本身,0
000001.SZ,2018,未依法履行其他职责,公司本身,0
000001.SZ,2018,未依法履行其他职责,公司本身,0
000001.SZ,2018,未依法履行其他职责,公司本身,0
000001.SZ,2018,未依法履行其他职责,公司本身,0
000001.SZ,2018,"未及时披露公司重大事项,未依法履行其他职责",公司本身,0
000001.SZ,2018,未依法履行其他职责,公司本身,0
000001.SZ,2018,未依法履行其他职责,公司本身,0
000001.SZ,2018,未依法履行其他职责,公司本身,0
000001.SZ,2018,未依法履行其他职责,公司本身,0
000001.SZ,2018,未依法履行其他职责,公司本身,0
000001.SZ,2018,未依法履行其他职责,公司本身,0
000001.SZ,2018,未依法履行其他职责,公司本身,0
000001.SZ,2018,未依法履行其他职责,公司本身,0
000001.SZ,2018,未依法履行其他职责,公司本身,0
000001.SZ,2018,未依法履行其他职责,公司本身,0
000001.SZ,2018,未依法履行其他职责,公司本身,0
000001.SZ,2018,未依法履行其他职责,公司本身,0
000001.SZ,2018,未依法履行其他职责,公司本身,0
000001.SZ,2018,未依法履行其他职责,公司本身,0
000001.SZ,2018,未依法履行其他职责,公司本身,0
000001.SZ,2018,未依法履行其他职责,公司本身,0
000001.SZ,2018,未依法履行其他职责,公司本身,0
000001.SZ,2018,未依法履行其他职责,公司本身,0
000001.SZ,2018,"未依法履行其他职责,信息披露虚假或严重误导性陈述",公司本身,0
000001.SZ,2019,未依法履行其他职责,公司本身,1
000001.SZ,2019,未依法履行其他职责,公司本身,0
000001.SZ,2019,未依法履行其他职责,公司本身,0
000001.SZ,2019,未依法履行其他职责,公司本身,0
000001.SZ,2019,未依法履行其他职责,公司本身,0
000001.SZ,2019,未依法履行其他职责,公司本身,0
000001.SZ,2019,未依法履行其他职责,公司本身,0
000001.SZ,2019,未依法履行其他职责,公司本身,0
000001.SZ,2019,未依法履行其他职责,公司本身,0
000001.SZ,2019,未依法履行其他职责,公司本身,0
