AF_af_penalty_name,AF_af_penalty_org,AF_af_penalty_type,AF_af_penalty_act,AF_af_penalty_fileno,AF_af_penalty_year,consecutive
中兴财光华会计师事务所,中国证券监督管理委员会,行政处罚,责令改正;没收业务收入;罚款,〔2020〕20号,2020,0
中兴财光华会计师事务所,中国证券监督管理委员会,行政处罚,责令改正;没收业务收入;罚款,〔2021〕52号,2021,1
中兴财光华会计师事务所,中国证券监督管理委员会,行政处罚,责令改正;没收业务收入;罚款,〔2021〕99号,2021,0
中准会计师事务所,中国证券监督管理委员会,行政处罚,责令改正;没收业务收入;罚款,〔2021〕74号,2021,0
中勤万信会计师事务所,中国证券监督管理委员会湖北监管局,行政处罚,没收业务收入，罚款,〔2019〕4号,2019,0
中天运会计师事务所,中国证券监督管理委员会,行政处罚,没收业务收入，罚款,〔2018〕115号,2018,0
中天运会计师事务所,中国证券监督管理委员会,行政处罚,责令改正;没收业务收入;罚款,〔2021〕91号,2021,0
中审众环会计师事务所,中国证券监督管理委员会湖北证监局,行政处罚,没收业务收入;罚款,[2021]4号,2021,0
中审华会计师事务所,中国证券监督管理委员会福建监管局,行政处罚,责令改正;没收业务收入;罚款,〔2020〕4号,2020,0
中审华会计师事务所,中国证券监督管理委员会安徽监管局,行政处罚,责令改正;没收违法所得;罚款,〔2021〕3号,2021,1
中汇会计师事务所,中国证券监督管理委员会浙江监管局,行政处罚,责令改正，没收业务收入，罚款,〔2019〕8号,2019,0
亚太（集团）会计师事务所,中国注册会计师协会,行业惩戒,训诫,会协〔2018〕49号,2018,0
亚太（集团）会计师事务所,中国证券监督管理委员会,行政处罚,责令改正;没收业务收入;罚款,〔2021〕128号,2021,0
亚太（集团）会计师事务所,中国证券监督管理委员会,行政处罚,责令改正;没收业务收入;罚款,〔2021〕118号,2021,0
众华会计师事务所,中国证券监督管理委员会,行政处罚,责令改正，没收业务收入，罚款,〔2019〕110号,2019,0
众华会计师事务所,中国证券监督管理委员会,行政处罚,责令改正，没收业务收入，罚款、没收违法所得,〔2019〕37号,2019,0
北京中天华茂会计师事务所,中国证券监督管理委员会北京监管局,警示函,提交书面整改报告,〔2021〕227号,2021,0
北京兴华会计师事务所,中国证券监督管理委员会,行政处罚,责令改正，没收业务收入，罚款,〔2019〕135号,2019,0
北京兴华会计师事务所,中国证券监督管理委员会,行政处罚,责令改正;没收业务收入;罚款,〔2020〕85号,2020,1
北京兴华会计师事务所,中国证券监督管理委员会重庆监管局,行政处罚,责令改正;没收业务收入;罚款,〔2021〕2号,2021,2
大信会计师事务所,中国证券监督管理委员会,行政处罚,责令改正，没收业务收入，罚款,〔2019〕6号,2019,0
大华会计师事务所,中国证券监督管理委员会,行政处罚,没收业务收入，罚款,〔2018〕70号,2018,0
大华会计师事务所,中国证券监督管理委员会重庆监管局,行政处罚,责令改正;没收业务收入;罚款,〔2020〕4号,2020,0
尤尼泰振青会计师事务所,宁夏注册会计师协会,行业惩戒,公开谴责,宁会协[2020]020 号,2020,0
希格玛会计师事务所,中国证券监督管理委员会甘肃证监局,行政处罚,没收违法所得;罚款,〔2021〕001号,2021,0
永拓会计师事务所,河北省注册会计师协会,行业惩戒,通报批评,冀会协〔2019〕惩字4号,2019,0
永拓会计师事务所,财政部,行政处罚,警告,（财监罚〔2021〕54号,2021,0
深圳堂堂会计师事务所,中国证券监督管理委员会,行政处罚,没收业务收入，罚款，市场禁入,〔2021〕106号,2021,0
瑞华会计师事务所,中国证券监督管理委员会,行政处罚,责令改正，没收业务收入，罚款,〔2018〕70号,2018,0
瑞华会计师事务所,中国证券监督管理委员会陕西监管局,行政处罚,责令改正，没收业务收入，罚款,〔2021〕2号,2021,0
瑞华会计师事务所,中国证券监督管理委员会,行政处罚,责令改正，没收业务收入，罚款,〔2021〕69号,2021,0
瑞华会计师事务所,中国证券监督管理委员会,行政处罚,没收业务收入，罚款,〔2021〕21号,2021,0
立信会计师事务所,中国证券监督管理委员会,行政处罚,没收业务收入，罚款,（2018）78号,2018,0
立信会计师事务所,中国证券监督管理委员会,行政处罚,没收业务收入，罚款,〔2018〕119号,2018,0
立信会计师事务所,中国证券监督管理委员会广东监管局,行政处罚,责令改正，没收业务收入，罚款,〔2018〕18号,2018,0
立信会计师事务所,中国证券监督管理委员会广东监管局,行政处罚,责令改正;没收业务收入;罚款,〔2020〕19号,2020,0
致同会计师事务所,中国证券监督管理委员会山西监管局,行政处罚,没收业务收入;罚款,〔2020〕1号,2020,0
