AF_id_code,AF_id_name,AF_id_intro,AF_id_startdate,AF_id_year,AF_id_isfour,AF_id_iseight,AF_id_officeno,AF_id_cpano,AF_id_income,consecutive
91310106086242261L,上会会计师事务所,上会会计师事务所（特殊普通合伙），创建于1981年，是由财政部试点成立的会计师事务所。具备上市公司、金融证券机构、大型企业年报、外汇专项、司法鉴定审计和高新技术企业专项审计等多项业务资质和相应的业务来源。,2013,2018,0,0,16,371,355665700,0
91310106086242261L,上会会计师事务所,上会会计师事务所（特殊普通合伙），创建于1981年，是由财政部试点成立的会计师事务所。具备上市公司、金融证券机构、大型企业年报、外汇专项、司法鉴定审计和高新技术企业专项审计等多项业务资质和相应的业务来源。,2013,2019,0,0,17,379,378145100,1
91310106086242261L,上会会计师事务所,上会会计师事务所（特殊普通合伙），创建于1981年，是由财政部试点成立的会计师事务所。具备上市公司、金融证券机构、大型企业年报、外汇专项、司法鉴定审计和高新技术企业专项审计等多项业务资质和相应的业务来源。,2013,2020,0,0,19,414,497185100,2
91310106086242261L,上会会计师事务所,上会会计师事务所（特殊普通合伙），创建于1981年，是由财政部试点成立的会计师事务所。具备上市公司、金融证券机构、大型企业年报、外汇专项、司法鉴定审计和高新技术企业专项审计等多项业务资质和相应的业务来源。,2013,2021,0,0,22,445,620110600,2
91110102082881146K,中兴华会计师事务所,"中兴华会计师事务所(特殊普通合伙)是经中华人民共和国财政部批准,由国家工商行政管理局登记注册成立的,具有独立法人资格的全国性的会计,资产评估,财税和工程咨询等专业服务机构。成立于1993年,2013年公司进行合伙制转制。转制后的事务所名称经工商行政管理局核准为“中兴华会计师事务所(特殊普通合伙)”。本所出资额3115万,从业人员近二千人.现有注册会计师631(其中北京总所164人),其中具有证券,期货相关业务资格的注册会计师132人。注册评估师87人,注册税务师56人,工程师,律师等资格的42人。",2013,2018,0,0,27,782,1091830800,0
91110102082881146K,中兴华会计师事务所,"中兴华会计师事务所(特殊普通合伙)是经中华人民共和国财政部批准,由国家工商行政管理局登记注册成立的,具有独立法人资格的全国性的会计,资产评估,财税和工程咨询等专业服务机构。成立于1993年,2013年公司进行合伙制转制。转制后的事务所名称经工商行政管理局核准为“中兴华会计师事务所(特殊普通合伙)”。本所出资额3115万,从业人员近二千人.现有注册会计师631(其中北京总所164人),其中具有证券,期货相关业务资格的注册会计师132人。注册评估师87人,注册税务师56人,工程师,律师等资格的42人。",2013,2019,0,0,27,811,1319136800,1
91110102082881146K,中兴华会计师事务所,"中兴华会计师事务所(特殊普通合伙)是经中华人民共和国财政部批准,由国家工商行政管理局登记注册成立的,具有独立法人资格的全国性的会计,资产评估,财税和工程咨询等专业服务机构。成立于1993年,2013年公司进行合伙制转制。转制后的事务所名称经工商行政管理局核准为“中兴华会计师事务所(特殊普通合伙)”。本所出资额3115万,从业人员近二千人.现有注册会计师631(其中北京总所164人),其中具有证券,期货相关业务资格的注册会计师132人。注册评估师87人,注册税务师56人,工程师,律师等资格的42人。",2013,2020,0,0,32,920,1523875799.9999998,2
91110102082881146K,中兴华会计师事务所,"中兴华会计师事务所(特殊普通合伙)是经中华人民共和国财政部批准,由国家工商行政管理局登记注册成立的,具有独立法人资格的全国性的会计,资产评估,财税和工程咨询等专业服务机构。成立于1993年,2013年公司进行合伙制转制。转制后的事务所名称经工商行政管理局核准为“中兴华会计师事务所(特殊普通合伙)”。本所出资额3115万,从业人员近二千人.现有注册会计师631(其中北京总所164人),其中具有证券,期货相关业务资格的注册会计师132人。注册评估师87人,注册税务师56人,工程师,律师等资格的42人。",2013,2021,0,0,34,793,1688139000,2
9111010208376569XD,中兴财光华会计师事务所,"中兴财光华会计师事务所(特殊普通合伙)是具有证券期货相关业务资格的专业服务机构.在财政部,证监会,中注协的正确领导和广大客户的积极支持下,业务发展迅速.以北京总部为中心,与国内知名投行,券商,基金公司建立了长期战略合作关系.公司在全国各地主要城市设有分支机构,并与中联资产评估集团有限公司,中联造价咨询有限公司,中联税务师事务所联合组成中联光华集团,为企业提供审计,税务,工程造价咨询,资产评估等综合服务,是国内具有核心竞争力的优秀中介服务机构.中兴财光华会计师事务所以做优,做大,做强,上规模,上档次,上水平为发展战略目标,坚持“以质量求信誉,以信誉促发展”的经营理念,奉行“高效优质,为客户创造价值,为社会创造效益”的服务宗旨,追求稳健务实,与国际接轨的长远发展目标.全体员工精诚团结,锐意进取,竭诚为社会各界提供优质高效服务,为我国经济发展做出积极的贡献。",1999,2018,0,0,36,961,1086290300,0
9111010208376569XD,中兴财光华会计师事务所,"中兴财光华会计师事务所(特殊普通合伙)是具有证券期货相关业务资格的专业服务机构.在财政部,证监会,中注协的正确领导和广大客户的积极支持下,业务发展迅速.以北京总部为中心,与国内知名投行,券商,基金公司建立了长期战略合作关系.公司在全国各地主要城市设有分支机构,并与中联资产评估集团有限公司,中联造价咨询有限公司,中联税务师事务所联合组成中联光华集团,为企业提供审计,税务,工程造价咨询,资产评估等综合服务,是国内具有核心竞争力的优秀中介服务机构.中兴财光华会计师事务所以做优,做大,做强,上规模,上档次,上水平为发展战略目标,坚持“以质量求信誉,以信誉促发展”的经营理念,奉行“高效优质,为客户创造价值,为社会创造效益”的服务宗旨,追求稳健务实,与国际接轨的长远发展目标.全体员工精诚团结,锐意进取,竭诚为社会各界提供优质高效服务,为我国经济发展做出积极的贡献。",1999,2019,0,0,36,988,1204967700,1
